Date,Price,Open,High,Low,Vol.,Change %,SMA_7,SMA_30,RSI_14,Vol_30
2010-08-16,0.1,0.1,0.1,0.1,10730.0,0.0,0.1,0.1,0.0,0.0
2010-08-17,0.1,0.1,0.1,0.1,13190.0,0.0,0.1,0.1,0.0,0.0
2010-08-18,0.1,0.1,0.1,0.1,2950.0,0.0,0.1,0.1,0.0,0.0
2010-08-19,0.1,0.1,0.1,0.1,740.0,0.0,0.1,0.1,0.0,0.0
2010-08-20,0.1,0.1,0.1,0.1,4200.0,0.0,0.1,0.1,0.0,0.0
2010-08-21,0.1,0.1,0.1,0.1,10440.0,0.0,0.1,0.1,0.0,0.0
2010-08-22,0.1,0.1,0.1,0.1,18650.0,0.0,0.1,0.1,0.0,0.0
2010-08-23,0.1,0.1,0.1,0.1,4300.0,0.0,0.1,0.1,0.0,0.0
2010-08-24,0.1,0.1,0.1,0.1,6710.0,0.0,0.1,0.1,0.0,0.0
2010-08-25,0.1,0.1,0.1,0.1,4230.0,0.0,0.1,0.1,0.0,0.0
2010-08-26,0.1,0.1,0.1,0.1,3870.0,0.0,0.1,0.1,0.0,0.0
2010-08-27,0.1,0.1,0.1,0.1,9010.0,0.0,0.1,0.1,0.0,0.0
2010-08-28,0.1,0.1,0.1,0.1,6170.0,0.0,0.1,0.1,0.0,0.0
2010-08-29,0.1,0.1,0.1,0.1,3170.0,0.0,0.1,0.1,0.0,0.0
2010-08-30,0.1,0.1,0.1,0.0,34190.0,0.0,0.1,0.1,0.0,0.0
2010-08-31,0.1,0.1,0.1,0.1,14890.0,0.0,0.1,0.1,0.0,0.0
2010-09-01,0.1,0.1,0.1,0.1,7170.0,0.0,0.1,0.1,0.0,0.0
2010-09-02,0.1,0.1,0.1,0.1,8150.0,0.0,0.1,0.1,0.0,0.0
2010-09-03,0.1,0.1,0.1,0.1,890.0,0.0,0.1,0.1,0.0,0.0
2010-09-04,0.1,0.1,0.1,0.1,3300.0,0.0,0.1,0.1,0.0,0.0
2010-09-05,0.1,0.1,0.1,0.1,8460.0,0.0,0.1,0.1,0.0,0.0
2010-09-06,0.1,0.1,0.1,0.1,910.0,0.0,0.1,0.1,0.0,0.0
2010-09-07,0.1,0.1,0.1,0.1,3460.0,0.0,0.1,0.1,0.0,0.0
2010-09-08,0.1,0.1,0.1,0.1,2350.0,0.0,0.1,0.1,0.0,0.0
2010-09-09,0.1,0.1,0.1,0.1,1730.0,0.0,0.1,0.1,0.0,0.0
2010-09-10,0.1,0.1,0.1,0.1,4940.0,0.0,0.1,0.1,0.0,0.0
2010-09-11,0.1,0.1,0.1,0.1,7750.0,0.0,0.1,0.1,0.0,0.0
2010-09-12,0.1,0.1,0.1,0.1,790.0,0.0,0.1,0.1,0.0,0.0
2010-09-13,0.1,0.1,0.1,0.1,10080.0,0.0,0.1,0.1,0.0,0.0
2010-09-14,0.1,0.1,0.2,0.1,14020.0,0.0,0.1,0.1,0.0,0.0
2010-09-15,0.1,0.1,0.1,0.1,3650.0,0.0,0.1,0.1,0.0,0.0
2010-09-16,0.1,0.1,0.1,0.1,730.0,0.0,0.1,0.1,0.0,0.0
2010-09-17,0.1,0.1,0.1,0.1,7260.0,0.0,0.1,0.1,0.0,0.0
2010-09-18,0.1,0.1,0.1,0.1,7090.0,0.0,0.1,0.1,0.0,0.0
2010-09-19,0.1,0.1,0.1,0.1,12850.0,0.0,0.1,0.1,0.0,0.0
2010-09-20,0.1,0.1,0.1,0.1,14310.0,0.0,0.1,0.1,0.0,0.0
2010-09-21,0.1,0.1,0.1,0.1,5740.0,0.0,0.1,0.1,0.0,0.0
2010-09-22,0.1,0.1,0.1,0.1,11560.0,0.0,0.1,0.1,0.0,0.0
2010-09-23,0.1,0.1,0.1,0.1,15510.0,0.0,0.1,0.1,0.0,0.0
2010-09-24,0.1,0.1,0.1,0.1,680.0,0.0,0.1,0.1,0.0,0.0
2010-09-25,0.1,0.1,0.1,0.1,2150.0,0.0,0.1,0.1,0.0,0.0
2010-09-26,0.1,0.1,0.1,0.1,12060.0,0.0,0.1,0.1,0.0,0.0
2010-09-27,0.1,0.1,0.1,0.1,10750.0,0.0,0.1,0.1,0.0,0.0
2010-09-28,0.1,0.1,0.1,0.1,7090.0,0.0,0.1,0.1,0.0,0.0
2010-09-29,0.1,0.1,0.1,0.1,23480.0,0.0,0.1,0.1,0.0,0.0
2010-09-30,0.1,0.1,0.1,0.1,7920.0,0.0,0.1,0.1,0.0,0.0
2010-10-01,0.1,0.1,0.1,0.1,1720.0,0.0,0.1,0.1,0.0,0.0
2010-10-02,0.1,0.1,0.1,0.1,13060.0,0.0,0.1,0.1,0.0,0.0
2010-10-03,0.1,0.1,0.1,0.1,7170.0,0.0,0.1,0.1,0.0,0.0
2010-10-04,0.1,0.1,0.1,0.1,34000.0,0.0,0.1,0.1,0.0,0.0
2010-10-05,0.1,0.1,0.1,0.1,27530.0,0.0,0.1,0.1,0.0,0.0
2010-10-06,0.1,0.1,0.1,0.1,33430.0,0.0,0.1,0.1,0.0,0.0
2010-10-07,0.1,0.1,0.1,0.1,43690.0,0.0,0.1,0.1,0.0,0.0
