Horizon,Model,MAE,RMSE,MAPE (%)
1D,1D-CNN,1472.0220947265625,2936.810344574535,3.9510872215032578
1D,RNN,791.4556274414062,1213.0900626087084,2.213076874613762
1D,LSTM,824.5684814453125,1234.168799232909,2.286958694458008
1D,Transformer,1201.741943359375,2307.98353546987,3.2939717173576355
1D,PatchTST,731.8899536132812,1138.6678620212306,2.0597072318196297
3D,1D-CNN,2759.994384765625,5546.690364532709,7.4606455862522125
3D,RNN,1345.4561767578125,1988.4315426989183,3.8176923990249634
3D,LSTM,1488.904541015625,2170.6917100316205,4.1185155510902405
3D,Transformer,2093.046142578125,3739.8315470085013,5.755520239472389
3D,PatchTST,1321.2679443359375,1952.2878886065957,3.7389203906059265
7D,1D-CNN,2555.31689453125,3769.9551721472762,7.00862929224968
7D,RNN,2204.111083984375,3194.390552202407,6.161639466881752
7D,LSTM,2092.0595703125,3080.5059649349814,5.862555280327797
7D,Transformer,2235.899658203125,3284.9033471321495,6.30381777882576
7D,PatchTST,2087.755615234375,3026.5825612396566,5.929871648550034
